sentence1,sentence2,label,pred,abs_error,category
"""What they have done is a thinly veiled attempt to do an end run around the Constitution,"" she said.","The church's lawyer, Shirley Phelps-Roper, was clear: ""What they have done is a thinly veiled attempt to do an end run around the constitution,"" she said.",2.6,3.786771297454834,1.186771297454834,long_sentence
Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,4.0,2.050371617078781,1.9496283829212189,other
"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,3.6,1.9557464122772217,1.6442535877227784,other
"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.",1.667,3.482603430747986,1.8156034307479858,other
"Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.",Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.,2.25,3.3565855026245117,1.1065855026245117,other
"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","""IT is the only vehicle on which established economies will be able to compete"" with fast-growing economies such as China and India, Barrett said.",3.25,4.3414342403411865,1.0914342403411865,long_sentence
"On Monday, as first reported by CNET News.com, the RIAA withdrew a DMCA notice to Penn State University's astronomy and astrophysics department.","Last Thursday, the RIAA sent a stiff copyright warning to Penn State's department of astronomy and astrophysics.",1.75,2.932952046394348,1.1829520463943481,negation_mismatch
"U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.","U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours.",3.0,4.218389987945557,1.2183899879455566,long_sentence
As part of a restructuring Peregrine sold its Remedy help desk software unit last year to BMC Software Inc.,Peregrine sold its Remedy business unit to BMC Software in November for $355 million.,3.0,4.061909317970276,1.0619093179702759,negation_mismatch
"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall London market.","Shares in BA were down three percent at 165-1/4 pence by 0933 GMT, off a low of 164 pence, in a stronger market.",2.4,3.999747335910797,1.5997473359107972,long_sentence
"Families stuck on the highway remained in their cars, and used their cell phones to call home.","Families stuck on the highway were being urged to remain in their cars, and to use their cell phones only in case of emergency.",3.0,4.049640893936157,1.0496408939361572,long_sentence
"For the entire season, the average five-day forecast track error was 259 miles, Franklin said.","""The average track error for the five-day (forecast) is 323 nautical miles.",1.75,3.6506152153015137,1.9006152153015137,other
"""City-grown pollution, and ozone in particular, is tougher on country trees,"" says Cornell University ecologist Jillian Gregg.","""I know this sounds counterintuitive, but it's true: City-grown pollution -- and ozone in particular -- is tougher on country trees,"" U.S. ecologist Jillian Gregg said.",3.6,4.694618880748749,1.0946188807487487,negation_mismatch
"The Dow Jones Industrial Average fell 0.7 per cent to 9,547.43 while the S&P 500 was 0.8 per cent weaker at 1,025.79.","The Dow Jones industrial average <.DJI> fell 44 points, or 0.46 percent, to 9,568.",1.5,3.0965134501457214,1.5965134501457214,long_sentence
Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.,"Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.",1.75,3.076116442680359,1.3261164426803589,negation_mismatch
"Shares of Halliburton fell 71 cents, or 3 percent, to close at $21.59 yesterday on the New York Stock Exchange.","Halliburton shares fell 54 cents, or 2.4 percent, to $21.76 a share in midday New York Stock Exchange trade.",2.4,3.6992135643959045,1.2992135643959046,other
John Hickenlooper had 65 percent of the vote to 35 percent for City Auditor Don Mares.,"Hickenlooper clobbered city Auditor Don Mares, 46, in the Tuesday runoff.",2.4,3.54170024394989,1.1417002439498902,negation_mismatch
The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,1.6,2.9216569662094116,1.3216569662094115,other
"In September, Hewlett-Packard signed a development and marketing deal with the company.",Four months later it signed a joint marketing agreement with Hewlett-Packard Co.,2.75,3.860008716583252,1.110008716583252,other
"On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.","Yesterday, the Concorde seemed to launch itself straight out of the rising sun.",3.4,4.63065505027771,1.23065505027771,other
Kaichen appeared Wednesday in federal court on two bank robbery charges.,"She appeared in federal court Wednesday, but did not enter a plea.",3.0,1.728123426437378,1.271876573562622,negation_mismatch
Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain.,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel.,3.333,4.3598973751068115,1.0268973751068113,long_sentence
"The commission dropped charges that Patton improperly appointed Conner to the Kentucky Lottery Board and that he improperly appointed Conner's then-husband, Seth, to the Agriculture Development Board.","Patton also appointed Conner to the Kentucky Lottery Board and appointed Seth Conner to the Agriculture Development Board, the commission says.",2.5,3.9683175086975098,1.4683175086975098,long_sentence
Military plane crashes in south France: authorities,"Military plane crashes in southeastern Turkey, 1 dead",1.0,2.2282853722572327,1.2282853722572327,other
Saudi gas truck blast kills at least 22,Nigeria church blast kills at least 12,0.6,1.9381225109100342,1.338122510910034,other
Greece votes in crucial election,Greece looks set for repeat election,1.8,3.518679141998291,1.718679141998291,low_overlap
1 person killed in sectarian clashes in Lebanon,Nine killed in Syrian-linked clashes in Lebanon,1.4,2.411857843399048,1.011857843399048,other
Colorado shooting suspect was in therapy,Lawyers: Colo. shooting suspect is mentally ill,4.2,1.9954794645309448,2.2045205354690554,low_overlap
Israeli Leader Puts Off Evicting Settlers From Hebron House,Israeli army orders settlers out of Hebron house,1.6,3.9811432361602783,2.3811432361602782,other
Japan falls silent to mark 311 tragedy,Japan thanks Taiwan for quake aid,0.4,1.4702194929122925,1.0702194929122926,low_overlap
Israeli PM makes case on Iran to US voters,Israel blames Iran for attacks on its diplomats,1.2,2.598821222782135,1.398821222782135,low_overlap
Five dead in Pakistan suicide blast,Over 120 dead in Pakistan factory blaze,0.6,1.9932883977890015,1.3932883977890014,other
"Wigan 3-2 Wolves: Match report, pictures & video highlights","Arsenal 0-0 Chelsea: Match report, pictures & video highlights",1.2,2.4193809926509857,1.2193809926509858,other
Breivik complains of 'ridicule',Breivik: Jail term 'ridiculous',1.8,2.9009607434272766,1.1009607434272766,low_overlap
Sly Stallone's Sone Sage Found Dead in LA,Sylvester Stallone's Son Found Dead At Home,4.2,2.891600728034973,1.308399271965027,other
"Romney, Obama clash on tax, economy in first debate",Obama and Romney take stage for first debate,2.2,3.5289520025253296,1.3289520025253294,negation_mismatch
Remarks by the President at the White House Science Fair,The Presidential Planner - The White House Science Fair,2.8,3.903018832206726,1.1030188322067263,other
Suicide bomber hits funeral in Iraq,Suicide bomber strikes in Syria,1.8,3.3353906869888306,1.5353906869888305,other
2 dead in Bangladesh clashes over Jamaat leader’s execution,Bangladesh Islamist leader executed,2.0,3.0099618434906006,1.0099618434906006,low_overlap
China to resume US investment talks,China and Taiwan hold historic talks,0.8,2.46958926320076,1.6695892632007598,low_overlap
Nelson Mandela taken to hospital,Nelson Mandela released from hospital,1.6,4.064150452613831,2.4641504526138305,other
"Today in History, April 23","Today in History, Jan. 21",1.4,3.306082785129547,1.9060827851295472,other
UK alert on Syrian chemical arms,West raises stakes over Syria chemical claims,3.8,1.5697017312049866,2.2302982687950133,low_overlap
Calif man pleads not guilty in girl kidnap case,Calif. man pleads not guilty in terrorism case,2.2,3.224821090698242,1.024821090698242,other
Motorists killed after Japanese tunnel collapses,Cars trapped in tunnel collapse outside Tokyo,1.8,3.1871742010116577,1.3871742010116577,low_overlap
Chinese shares close lower on Wednesday,Chinese students attacked in France,0.0,1.512438803911209,1.512438803911209,low_overlap
"The Note's Must-Reads for Friday, December 6, 2013","The Note's Must-Reads for Friday, July 12, 2013",1.8,3.4786456823349,1.6786456823348999,other
Stocks close 0.39% higher,Stocks close 2.47% higher,1.8,3.455057740211487,1.6550577402114868,other
Queen pays tribute to Nelson Mandela,US presidents pay tribute to Mandela,1.6,3.4435835480690002,1.8435835480690002,other
Iran says it captures drone; U.S. denies losing one,Iran says it has seized U.S. drone; U.S. says it's not true,4.8,3.5916316509246826,1.2083683490753172,negation_mismatch
No radiation leak at Iran's nuclear plant,US Congress may throw wrench into Iran nuclear deal,0.8,1.8000541627407074,1.0000541627407074,negation_mismatch
Singapore stocks end up 0.11 pct,Singapore stocks close 0.54 pct higher,2.2,3.3965882658958435,1.1965882658958433,other
2 Pussy Riot Members Reunited in Krasnoyarsk,Freed Pussy Riot pair stir up anti-Putin protests,1.2,2.6560911536216736,1.4560911536216736,negation_mismatch
Iran Moderate Wins Presidency by a Large Margin,Iran threatens to trigger oil price war,0.4,1.924053281545639,1.5240532815456391,low_overlap
"Nicaragua, Venezuela offer asylum to Snowden",Bolivia's Morales says he would grant asylum to Snowden if asked,2.2,3.294147253036499,1.0941472530364988,other
Chinese shares close lower on Wednesday,China stocks close lower on Friday,2.5,4.368035197257996,1.8680351972579956,other
Miss New York Crowned Miss America 2013,Miss New York is crowned Miss America,3.0,4.1032737493515015,1.1032737493515015,other
Brooks pleads not guilty to hacking charges,Dave Lee Travis pleads not guilty to all charges,1.4,2.5437092781066895,1.1437092781066895,other
6.4-magnitude quake strikes off Indonesia,6.9-magnitude quake strikes off Russia's Kuril Islands,1.0,2.6749691367149353,1.6749691367149353,other
Gunmen 'kill 10 tourists' in Kashmir,Gunmen kill four in Kenya church attack,2.2,0.956626683473587,1.2433733165264131,low_overlap
Chinese shares close higher on Tuesday,Chinese shares close lower on Wednesday,1.8,4.386729598045349,2.5867295980453493,other
Attack kills 12 in Afghanistan,NATO: 3 troops killed in Afghanistan attack,2.4,1.2401559948921204,1.1598440051078795,other
Food poisoning kills at least 20 children in India,Baghdad cafe bombing kills at least 38,0.0,1.410018503665924,1.410018503665924,other
17 govt employees killed in Pakistan bus bombing,At least 78 killed in Pakistan church bombing,0.8,1.9671741127967834,1.1671741127967834,other
Obama signs law aimed at barring Iran UN envoy,Obama urges no new sanctions on Iran,1.0,2.877105474472046,1.877105474472046,negation_mismatch
DPRK leader calls for better ties with S.Korea,North Korea urges foreigners to leave South Korea,0.4,2.103027254343033,1.703027254343033,negation_mismatch
"EU Ministers of Employment and Social policy will discuss how to boost employment, integrate social and economic policies",EU Ministers of Employment and Social policy to discuss employment boosting strategies,3.0,4.433382451534271,1.4333824515342712,negation_mismatch
"Boy, 14, arrested for sex attacks around a university campus",Two teenagers arrested after string of sex attacks on Manchester University campus,2.0,3.2986271381378174,1.2986271381378174,other
Maldives begins to vote in controversy-ridden presidential poll,Crisis-hit Maldives holds new presidential poll,3.0,4.015755653381348,1.0157556533813477,other
"Obama, Hollande Hail Transformed US-French Relationship",Hollande arrives for US state visit,1.0,2.7503371238708496,1.7503371238708496,low_overlap
10 Things to Know for Wednesday,10 Things to Know for Thursday,2.0,4.260549545288086,2.260549545288086,other
New UN peacekeeping chief named for Central African Republic,UN takes over peacekeeping in Central African Republic,2.0,3.77801775932312,1.7780177593231201,other
Israeli police clash with Palestinian protesters at sensitive Jerusalem holy site,Israel Police Clash With Palestinians in Jerusalem,3.0,4.1252201795578,1.1252201795578003,other
"3 killed, 4 injured in Los Angeles shootings",Five killed in Saudi Arabia shooting,0.0,1.796167641878128,1.796167641878128,low_overlap
Scientists prove there is water on Mars,Has Nasa discovered water on Mars?,2.0,4.123067259788513,2.123067259788513,low_overlap
Pranab stresses need to strive for peace by nations,WTO: India regrets action of developed nations,0.0,1.4973083138465881,1.4973083138465881,low_overlap
Obama is right: Africa deserves better leadership,Obama waiting for midterm to name attorney general,0.0,1.1004969477653503,1.1004969477653503,low_overlap
New video shows US police officers beating mentally-ill man,New York police officer critically wounded in hatchet attack,0.0,1.2183623015880585,1.2183623015880585,low_overlap
